Date,Takeaway Amount
31-08-21,1015.00
01-09-21,880.00
02-09-21,160.00
02-09-21,735.00
03-09-21,875.00
03-09-21,160.00
04-09-21,360.00
04-09-21,160.00
04-09-21,320.00
06-09-21,600.00
06-09-21,480.00
06-09-21,160.00
06-09-21,200.00
07-09-21,800.00
07-09-21,400.00
08-09-21,1135.00
09-09-21,160.00
09-09-21,2130.00
10-09-21,2200.00
10-09-21,480.00
11-09-21,400.00
11-09-21,1480.00
11-09-21,320.00
13-09-21,960.00
13-09-21,160.00
14-09-21,1200.00
14-09-21,160.00
14-09-21,160.00
15-09-21,160.00
15-09-21,1280.00
15-09-21,640.00
16-09-21,640.00
16-09-21,1120.00
17-09-21,320.00
18-09-21,320.00
20-09-21,1385.00
20-09-21,2770.00
21-09-21,1600.00
22-09-21,2560.00
22-09-21,320.00
23-09-21,480.00
24-09-21,1600.00
25-09-21,640.00
27-09-21,1920.00
28-09-21,2080.00
30-09-21,3350.00
01-10-21,2170.00
02-10-21,160.00
03-10-21,320.00
04-10-21,800.00
05-10-21,160.00
05-10-21,1920.00
07-10-21,740.00
07-10-21,1600.00
09-10-21,320.00
11-10-21,800.00
12-10-21,720.00
13-10-21,3400.00
14-10-21,3690.00
16-10-21,320.00
16-10-21,320.00
17-10-21,1440.00
17-10-21,160.00
18-10-21,1450.00
18-10-21,160.00
19-10-21,320.00
19-10-21,160.00
20-10-21,480.00
20-10-21,960.00
21-10-21,320.00
22-10-21,1050.00
22-10-21,640.00
25-10-21,480.00
25-10-21,1135.00
25-10-21,480.00
26-10-21,750.00
26-10-21,480.00
26-10-21,2080.00
27-10-21,2100.00
28-10-21,1200.00
28-10-21,3060.00
28-10-21,3060.00
29-10-21,320.00
29-10-21,4760.00
30-10-21,4020.00
31-10-21,1620.00
01-11-21,160.00
02-11-21,2960.00
08-11-21,1135.00
09-11-21,1520.00
10-11-21,160.00
10-11-21,1615.00
10-11-21,320.00
11-11-21,320.00
11-11-21,330.00
12-11-21,160.00
12-11-21,1445.00
13-11-21,160.00
13-11-21,960.00
14-11-21,160.00
15-11-21,1280.00
16-11-21,1760.00
16-11-21,1560.00
16-11-21,50.00
17-11-21,2080.00
17-11-21,160.00
18-11-21,160.00
18-11-21,2050.00
19-11-21,1170.00
19-11-21,160.00
